X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
9217,9217,5091,1,1,1,0,0,1,1,97,0,1,0,1,0,0,1218,0,0,0,1,2014
9385,9385,220,1,0,1,0,1,1,1,40.967773,1,0,0,1,0,0,1183,0,0,0,1,2014
9484,9484,13298,1,0,0,0,0,0,1,32,0,1,0,1,0,0,49,0,0,1,1,2014
9551,9551,12247,1,0,1,1,1,1,1,58,0,0,0,1,0,0,1299,0,0,0,1,2014
9795,9795,6026,1,0,1,0,1,1,1,31,0,0,0,0,0,0,1349,0,0,0,1,2014
9864,9864,3760,1,0,0,0,0,0,1,24,0,1,0,0,0,0,1166,0,1,1,1,2014
9879,9879,3547,1,1,1,1,1,1,1,56,0,1,0,0,0,0,1302,0,0,0,1,2014
9885,9885,15980,1,0,1,1,1,1,1,66,0,0,0,1,0,0,2450,0,0,0,1,2014
10071,10071,8422,1,0,0,0,0,0,1,24,0,1,0,1,0,0,1489,0,1,1,1,2014
10163,10163,8739,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1568,0,1,1,1,2014
10467,10467,1348,1,0,0,0,0,0,1,52,0,1,0,1,0,0,601,0,0,1,1,2014
10632,10632,5965,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1663,0,1,1,0,2014
10726,10726,18086,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1390,0,1,1,1,2014
10727,10727,1323,1,0,0,0,0,0,1,33,0,1,0,1,0,0,334,0,0,1,1,2014
10778,10778,14178,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,1283,0,1,1,1,2014
10896,10896,14964,1,0,1,0,1,1,1,52,0,0,0,1,0,0,1124,0,0,0,1,2014
10959,10959,5224,1,0,0,0,0,1,1,51,0,1,0,1,0,0,1041,0,0,0,1,2014
11040,11040,13924,1,0,0,0,0,0,1,25,0,0,0,0,0,0,1981,0,1,1,0,2014
11166,11166,12309,1,0,0,0,0,0,1,56,0,0,0,1,0,0,1266,0,1,1,1,2014
11456,11456,560,1,0,0,0,0,0,1,41,0,1,0,1,0,0,1412,0,1,1,1,2014
11608,11608,2287,1,0,0,0,0,0,1,40.967773,1,0,1,1,0,0,91,0,0,1,1,2014
11663,11663,1848,1,0,1,1,1,1,1,45,0,0,0,0,0,0,-232,0,0,0,1,2014
11707,11707,4991,1,0,1,0,1,1,1,39,0,0,0,1,0,0,2461,0,0,0,1,2014
11778,11778,3551,1,0,1,1,1,1,1,67,0,0,0,0,0,0,15,0,0,0,1,2014
11815,11815,11879,1,0,0,1,1,1,1,57,0,0,0,1,0,0,1233,0,0,0,1,2014
11899,11899,10471,1,0,0,0,0,0,1,26,0,1,0,1,0,0,1246,0,1,1,1,2014
11921,11921,1933,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,750,0,0,1,1,2014
12004,12004,18248,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1205,0,1,1,1,2014
12234,12234,2421,1,0,0,0,0,1,1,33,0,0,0,0,1,0,4871,0,0,0,1,2014
12574,12574,2514,1,0,0,0,0,0,1,63,0,1,0,1,0,0,599,0,0,1,0,2014
12634,12634,12763,1,0,0,0,0,0,1,66,0,1,0,0,0,0,1511,0,1,1,0,2014
12749,12749,16183,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,1743,0,1,1,1,2014
13049,13049,17721,1,1,1,0,0,1,1,62,0,1,0,1,0,0,512,0,0,0,0,2014
13051,13051,2525,1,1,1,1,1,1,1,54,0,0,0,0,0,0,742,0,0,0,1,2014
13168,13168,18776,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,1236,0,1,1,1,2014
13179,13179,1481,1,0,0,0,0,0,1,27,0,0,0,1,0,0,1162,0,1,1,1,2014
13280,13280,4838,1,1,1,1,0,1,1,84,0,0,0,1,0,0,293,0,0,0,1,2014
13398,13398,10714,1,0,1,0,0,1,1,40.967773,1,1,0,1,0,0,1177,0,0,0,1,2014
13586,13586,8374,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1205,0,1,1,0,2014
13737,13737,15216,1,0,0,0,0,0,1,23,0,1,0,1,0,0,1232,0,1,1,1,2014
13910,13910,10454,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,2463,0,0,1,1,2014
14153,14153,12263,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1365,0,1,1,1,2014
14206,14206,12929,1,0,0,0,0,1,1,33,0,0,0,1,0,0,750,0,0,0,1,2014
14244,14244,7810,1,0,0,0,0,0,1,63,0,0,0,1,0,0,1224,0,1,1,0,2014
14328,14328,11673,1,1,1,1,1,1,1,59,0,1,0,1,0,0,1204,0,0,0,1,2014
14458,14458,14096,1,0,1,1,1,1,1,33,0,0,0,1,0,0,967,0,0,0,1,2014
14874,14874,10421,1,0,0,0,0,1,1,49,0,0,0,1,0,0,-69,0,0,0,1,2014
