Name                                                      ,Institution                                                                ,Project Type   ,Cost
CIPREL Expansion (CIPREL IV)                              ,CIPREL (Compagnie Ivoirienne De Produciton D'electricite)                  ,ProjectClimate ,442M
Bugoye Hydro Plant                                        ,Bugoye Hydro Limited (BHL)                                                 ,ProjectClimate ,60M
Akuo Kita Solar                                           ,Akuo Energy Solutions                                                      ,ProjectClimate ,105M
Achwa 2 Hydropower Plant                                  ,ARPE Limited                                                               ,ProjectClimate ,110M
Gul Ahmed Wind Power Project                              ,Gul Ahmed Wind Power Ltd.                                                  ,ProjectClimate ,131M
Tobene Power Plant                                        ,Melec PowerGen                                                             ,Project        ,150M
Zhanatas Wind Farm                                        ,Zhanatas Wind-Power Station                                                ,ProjectClimate ,140M
Samoan Solar Power Development                            ,Sun Pacific Energy Limited (SPEL)                                          ,ProjectClimate ,7M
Energy+                                                   ,Energy+                                                                    ,CompanyClimate ,1M
Adjaristsqali Hydropower Project                          ,Adjaristsqali Georgia Ltd.                                                 ,ProjectClimate ,417M
Coc San Hydropower Plant                                  ,InfraCo Asia                                                               ,ProjectClimate ,50M
Ninh Thuan Solar Power Plant                              ,InfraCo Asia                                                               ,ProjectClimate ,176M
GreenYellow                                               ,GuarantCo                                                                  ,CompanyClimate ,19M
Subyai Wind Power Project                                 ,Electricity Generation Public Company Limited                              ,ProjectClimate ,166M
Gulf Solar Power Project                                  ,Thanh Cong Group Joint Stock Company                                       ,ProjectClimate ,52M
Southern Thailand Wind and Battery Energy Storage Project ,BPCG Public Company Limited                                                ,ProjectClimate ,20M
Solarise Africa                                           ,Solarise Africa                                                            ,CompanyClimate ,13M
Lubilia Kawembe Hydro (LKHP)                              ,DI Frontier Market Energy & Carbon Fund                                    ,ProjectClimate ,16M
Aptech Africa                                             ,Aptech Africa                                                              ,CompanyClimate ,1M
Metro Wind Power Project                                  ,Metro Power Company Limited                                                ,ProjectClimate ,132M
Persistent Energy Capital                                 ,Persistent Energy Capital LLC                                              ,CompanyClimate ,17M
Redavia                                                   ,Redavia GmbH                                                               ,CompanyClimate ,20M
Embedded Generation Investment Programme (EGIP)           ,Development Bank of Southern Africa (DBSA)                                 ,ProjectClimate ,537M
XiNa Solar One Project                                    ,Abengoa                                                                    ,ProjectClimate ,854M
RVE.Sol - Solucoes de Energia Rural (RVE.Sol)             ,United Kingdom FCDO - formerly DFID                                        ,CompanyClimate ,4M
Upper Trishuli-1 Hydropower Project                       ,International Finance Corporation (IFC)                                    ,ProjectClimate ,647M
SunEdison HON3                                            ,"SunEdison, Inc."                                                          ,CompanyClimate ,210M
K-Electric                                                ,GuarantCo                                                                  ,CompanyClimate ,50M
Kekeli Efficient Power                                    ,GuarantCo                                                                  ,Project        ,138M
ASEAN Distributed Power Project                           ,B.Grimm Power                                                              ,ProjectClimate ,471M
Kandahar Solar Power Project                              ,Barakat Kandahar Solar Energy                                              ,ProjectClimate ,19M
Cambodia Solar Power Project                              ,Sunseap Asset Cambodia Co. Ltd                                             ,ProjectClimate ,13M
Theppana Wind Power Project                               ,Electricity Generation Public Company Limited                              ,ProjectClimate ,13M
Itelecom Energy Efficient Street Lighting                 ,Itelecom                                                                   ,ProjectClimate ,28M
La Castellana Wind Farm                                   ,Central Puerto                                                             ,ProjectClimate ,153M
Parque Solar Iglesia-Gua\'f1izuil Project                 ,Jinko Solar (JKS)                                                          ,ProjectClimate ,105M
Conejos-Medanos Solar PV Project                          ,X-Elio                                                                     ,ProjectClimate ,50M
Provincial Solar Power Project                            ,Bangchak Solar Energy Company Limited                                      ,ProjectClimate ,63M
